Z=0.001000 Y=0.232000 OS=0.20 l/Hp=1.743201 [Fe/H]=-1.505247 [Alpha/Fe]= 0.30   
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)=12.000 140 points
 0.4000000  3.5644 -1.5979  4.8475 10.032  1.011  1.495  1.025  1.978  2.863  3.474  3.693  3.856  4.715  1.8710E+01  6.8338E+01  1.4956E+02
 0.4187099  3.5797 -1.5111  4.8417  9.594  0.971  1.405  0.923  1.778  2.625  3.199  3.408  3.583  4.394  3.7418E+01  1.2621E+02  2.6130E+02
 0.4374181  3.5950 -1.4239  4.8347  9.196  0.908  1.311  0.851  1.648  2.385  2.924  3.126  3.317  4.080  3.7408E+01  1.1385E+02  2.1930E+02
 0.4561183  3.6103 -1.3364  4.8266  8.837  0.829  1.231  0.771  1.502  2.224  2.739  2.929  3.114  3.835  3.7314E+01  1.0293E+02  1.8503E+02
 0.4747325  3.6256 -1.2486  4.8174  8.506  0.736  1.159  0.682  1.339  2.108  2.614  2.785  2.944  3.625  3.7179E+01  9.3348E+01  1.5707E+02
 0.4932970  3.6409 -1.1605  4.8071  8.202  0.667  1.099  0.623  1.221  2.008  2.520  2.677  2.825  3.486  3.9181E+01  8.9672E+01  1.4138E+02
 0.5139138  3.6558 -1.0723  4.7963  7.904  0.595  1.039  0.571  1.115  1.905  2.422  2.567  2.705  3.349  4.2167E+01  8.7776E+01  1.2949E+02
 0.5354642  3.6706 -0.9841  4.7852  7.585  0.490  0.963  0.510  0.997  1.763  2.267  2.401  2.522  3.138  4.2813E+01  8.1030E+01  1.1181E+02
 0.5567272  3.6854 -0.8955  4.7727  7.290  0.349  0.883  0.468  0.923  1.626  2.107  2.231  2.340  2.922  4.2189E+01  7.2864E+01  9.4276E+01
 0.5776529  3.7001 -0.8064  4.7584  7.019  0.187  0.804  0.441  0.878  1.513  1.969  2.081  2.182  2.735  2.4688E+01  3.9762E+01  4.8971E+01
 0.5814156  3.7027 -0.7901  4.7553  6.973  0.161  0.790  0.437  0.871  1.497  1.951  2.062  2.161  2.710  7.4423E+00  1.1599E+01  1.3958E+01
 0.5850952  3.7054 -0.7741  4.7529  6.929  0.134  0.776  0.434  0.865  1.483  1.934  2.043  2.141  2.687  7.4385E+00  1.1421E+01  1.3600E+01
 0.5888541  3.7080 -0.7577  4.7496  6.885  0.109  0.762  0.431  0.860  1.469  1.919  2.026  2.122  2.666  7.4047E+00  1.1201E+01  1.3200E+01
 0.5924999  3.7107 -0.7417  4.7471  6.842  0.084  0.747  0.427  0.855  1.455  1.903  2.009  2.104  2.644  7.3707E+00  1.0987E+01  1.2815E+01
 0.5962248  3.7133 -0.7253  4.7438  6.798  0.060  0.734  0.424  0.849  1.442  1.889  1.992  2.086  2.624  7.4240E+00  1.0906E+01  1.2590E+01
 0.5999239  3.7160 -0.7089  4.7409  6.754  0.037  0.720  0.421  0.844  1.429  1.873  1.974  2.067  2.602  8.3397E+00  1.2063E+01  1.3775E+01
 0.6045645  3.7184 -0.6912  4.7362  6.707  0.017  0.707  0.418  0.838  1.416  1.858  1.957  2.049  2.581  9.3938E+00  1.3355E+01  1.5066E+01
 0.6093177  3.7207 -0.6732  4.7308  6.659 -0.001  0.696  0.415  0.833  1.403  1.842  1.940  2.030  2.558  9.4814E+00  1.3235E+01  1.4741E+01
 0.6140459  3.7231 -0.6551  4.7256  6.610 -0.019  0.684  0.412  0.827  1.389  1.824  1.920  2.009  2.533  9.5072E+00  1.3031E+01  1.4329E+01
 0.6188249  3.7254 -0.6367  4.7198  6.561 -0.035  0.673  0.408  0.822  1.375  1.806  1.901  1.988  2.507  9.5958E+00  1.2915E+01  1.4022E+01
 0.6236417  3.7277 -0.6181  4.7138  6.511 -0.051  0.662  0.405  0.816  1.360  1.786  1.880  1.967  2.480  9.6262E+00  1.2723E+01  1.3637E+01
 0.6284511  3.7300 -0.5994  4.7076  6.461 -0.066  0.651  0.402  0.811  1.346  1.767  1.859  1.944  2.452  9.5562E+00  1.2405E+01  1.3130E+01
 0.6331979  3.7323 -0.5807  4.7014  6.411 -0.081  0.641  0.398  0.805  1.331  1.747  1.837  1.922  2.423  9.5658E+00  1.2198E+01  1.2751E+01
 0.6380169  3.7345 -0.5616  4.6944  6.360 -0.094  0.630  0.395  0.799  1.318  1.728  1.817  1.900  2.396  9.5512E+00  1.1966E+01  1.2354E+01
 0.6427491  3.7368 -0.5426  4.6878  6.310 -0.108  0.620  0.391  0.793  1.303  1.708  1.795  1.877  2.366  9.5839E+00  1.1798E+01  1.2031E+01
 0.6476008  3.7390 -0.5230  4.6802  6.258 -0.121  0.610  0.388  0.787  1.290  1.690  1.775  1.856  2.339  9.6143E+00  1.1631E+01  1.1716E+01
