Seq    Abrevation    Ref       
-----  ------------  ---------------------------           
    1  AFS16         Afsar_et_al.(2016)
    2  ALL12         Allen_et_al.(2012)
    3  AND09         Andrievsky_et_al.(2009)
    4  AND10         Andrievsky_et_al.(2010)
    5  AOK01         Aoki_et_al.(2001)
    6  AOK02         Aoki_et_al.(2002)
    7  AOK02a        Aoki_et_al.(2002a) 
    8  AOK02b        Aoki_et_al.(2002b) 
    9  AOK02d        Aoki_et_al.(2002d)  
   10  AOK05         Aoki_et_al.(2005) 
   11  AOK06b        Aoki_et_al.(2006b)  
   12  AOK07a        Aoki_et_al.(2007a)  
   13  AOK07b        Aoki_et_al.(2007b)  
   14  AOK07c        Aoki_et_al.(2007c)  
   15  AOK08         Aoki_et_al.(2008) 
   16  AOK09         Aoki_et_al.(2009) 
   17  AOK10         Aoki_et_al.(2010) 
   18  AOK12         Aoki_et_al.(2012) 
   19  AOK13         Aoki_et_al.(2013) 
   20  AOK14         Aoki_et_al.(2014) 
   21  ARN05         Arnone_et_al.(2005) 
   22  BAB05         Barbuy_et_al.(2005) 
   23  BAR05         Barklem_et_al.(2005) 
   24  BEH10         Behara_et_al.(2010) 
   25  BEN14         Bensby_et_al.(2011) 
   26  BER10a        Bergemann_et_al.(2010a)   
   27  BER10b        Bergemann_et_al.(2010b)   
   28  BON09         Bonifacio_et_al.(2009) 
   29  BON12         Bonifacio_et_al.(2012) 
   30  BUR00         Burris_et_al.(2000) 
   31  CAF11a        Caffau_et_al.(2011a)  
   32  CAF11b        Caffau_et_al.(2011b)  
   33  CAF13         Caffau_et_al.(2013) 
   34  CAL14         Caffau_et_al.(2014) 
   35  CAR02         Carretta_et_al.(2002) 
   36  CAS15         Casey_&_Schlaufman(2015) 
   37  CAY04         Cayrel_et_al.(2004) 
   38  CHR04         Christlieb_et_al.(2004) 
   39  COH03         Cohen_et_al.(2003) 
   40  COH04         Cohen_et_al.(2004) 
   41  COH06         Cohen_et_al.(2006) 
   42  COH07         Cohen_et_al.(2007) 
   43  COH08         Cohen_et_al.(2008) 
   44  COH09         Cohen_&_Huang(2009) 
